,CustomerID,Recency(Days),Frequency,Monetory,Recency(Days)Score,FrequencyScore,MonetoryScore,RFM,Loyality_Level
0,2,4,182,553704,1,1,1,3,Platinum
1,3,77,27,257404,3,3,1,7,Gold
2,4,19,72,176613,1,2,2,5,Platinum
3,5,311,16,41976,4,4,3,11,Bronze
4,6,37,77,166972,2,2,2,6,Gold
5,7,208,4,9410,4,4,4,12,Bronze
6,8,233,58,135550,4,2,2,8,Gold
7,9,215,13,65832,4,4,3,11,Bronze
8,10,25,58,331601,2,2,1,5,Platinum
9,11,34,131,771439,2,1,1,4,Platinum
10,12,2,17,105674,1,4,2,7,Gold
11,13,58,248,718751,3,1,1,5,Platinum
12,14,53,126,281630,3,1,1,5,Platinum
13,15,288,9,21630,4,4,4,12,Bronze
14,16,4,256,586496,1,1,1,3,Platinum
15,17,110,23,78378,3,3,3,9,Silver
16,18,8,81,205212,1,2,2,5,Platinum
17,19,292,21,41055,4,3,3,10,Silver
18,20,6,10,23537,1,4,4,9,Silver
19,21,52,166,469518,2,1,1,4,Platinum
20,22,60,62,182448,3,2,2,7,Gold
21,23,72,49,163883,3,2,2,7,Gold
22,24,312,13,42424,4,4,3,11,Bronze
23,25,26,32,76012,2,3,3,8,Gold
24,26,11,15,47600,1,4,3,8,Gold
25,27,316,76,200342,4,2,2,8,Gold
26,28,130,219,518776,3,1,1,5,Platinum
27,29,83,38,93904,3,3,2,8,Gold
28,30,22,100,296416,2,2,1,5,Platinum
29,31,10,82,183732,1,2,2,5,Platinum
30,32,190,94,236899,4,2,1,7,Gold
31,33,29,25,47632,2,3,3,8,Gold
32,34,346,10,57670,4,4,3,11,Bronze
33,35,16,100,356353,1,2,1,4,Platinum
34,36,80,31,68598,3,3,3,9,Silver
35,37,22,100,60518,2,2,3,7,Gold
36,38,73,64,201327,3,2,2,7,Gold
37,39,66,25,148768,3,3,2,8,Gold
38,40,20,144,386528,2,1,1,4,Platinum
39,41,36,124,287355,2,1,1,4,Platinum
40,42,46,84,215492,2,2,1,5,Platinum
41,43,120,55,158398,3,2,2,7,Gold
42,44,308,4,7278,4,4,4,12,Bronze
43,45,324,10,25584,4,4,4,12,Bronze
44,46,52,4,42252,2,4,3,9,Silver
45,47,149,53,178467,4,2,2,8,Gold
46,48,23,105,429407,2,1,1,4,Platinum
47,49,50,72,222570,2,2,1,5,Platinum
48,50,33,101,332786,2,1,1,4,Platinum
